time,Open,High,Low,Close,Volume,Hour,Day_of_week,Day_of_month,Month,Year,Is_asian_hours,Is_european_hours,Is_us_hours,Is_monday,Is_friday,Is_weekend
2012-04-25 00:00:00,1640.45,1646.15,1624.55,1643.48,42413,0,2,25,4,2012,1,0,0,0,0,0
2012-04-26 00:00:00,1643.2,1660.77,1641.75,1656.92,37097,0,3,26,4,2012,1,0,0,0,0,0
2012-04-27 00:00:00,1654.28,1667.48,1650.4,1662.45,38262,0,4,27,4,2012,1,0,0,0,1,0
2012-04-29 00:00:00,1662.1,1664.7,1662.1,1664.7,274,0,6,29,4,2012,1,0,0,0,0,1
2012-04-30 00:00:00,1664.05,1666.2,1645.0,1664.63,29507,0,0,30,4,2012,1,0,0,1,0,0
2012-05-01 00:00:00,1663.65,1671.53,1656.7,1662.2,27889,0,1,1,5,2012,1,0,0,0,0,0
2012-05-02 00:00:00,1661.95,1663.0,1645.83,1653.3,34624,0,2,2,5,2012,1,0,0,0,0,0
2012-05-03 00:00:00,1653.2,1653.5,1630.93,1635.76,37349,0,3,3,5,2012,1,0,0,0,0,0
2012-05-04 00:00:00,1635.81,1647.21,1626.46,1642.1,37313,0,4,4,5,2012,1,0,0,0,1,0
2012-05-06 00:00:00,1642.4,1642.4,1635.6,1638.8,753,0,6,6,5,2012,1,0,0,0,0,1
2012-05-07 00:00:00,1642.5,1642.5,1631.77,1638.26,29377,0,0,7,5,2012,1,0,0,1,0,0
2012-05-08 00:00:00,1637.61,1639.01,1595.2,1605.37,37917,0,1,8,5,2012,1,0,0,0,0,0
2012-05-09 00:00:00,1605.11,1606.31,1579.51,1589.36,44719,0,2,9,5,2012,1,0,0,0,0,0
2012-05-10 00:00:00,1589.31,1602.01,1585.66,1593.81,30038,0,3,10,5,2012,1,0,0,0,0,0
2012-05-11 00:00:00,1593.41,1594.96,1573.63,1579.2,28731,0,4,11,5,2012,1,0,0,0,1,0
2012-05-13 00:00:00,1583.4,1584.2,1578.0,1580.4,727,0,6,13,5,2012,1,0,0,0,0,1
2012-05-14 00:00:00,1585.07,1585.71,1556.06,1556.45,35636,0,0,14,5,2012,1,0,0,1,0,0
2012-05-15 00:00:00,1556.45,1563.69,1540.9,1543.35,34920,0,1,15,5,2012,1,0,0,0,0,0
